,animal_id,cell_id,cell_layer,cell_type_gene,cell_type_morph,delay_off,delay_on,fr_off,fr_on,injection_id,slice_id
0,19049,1,L23,pyr,pyr,61.986666666666665,193.77777777777777,11.11111111111111,100.0,1,1
1,19049,3,L23,pyr,pyr,58.99733333333334,127.752,20.0,33.333333333333336,1,1
2,19049,5,L23,pyr,pyr,68.58666666666666,123.55111111111111,0.0,100.0,1,1
3,19049,7,L23,pyr,pyr,52.94133333333333,110.51466666666667,26.666666666666668,33.333333333333336,1,1
4,19049,10,L23,pyr,pyr,52.90666666666667,54.04,16.666666666666668,0.0,1,1
5,19159,1,L23,pyr,pyr,56.12571428571429,100.9742857142857,21.428571428571427,42.857142857142854,1,1
6,19159,2,L23,pyr,pyr,50.328,69.06666666666666,26.666666666666668,60.0,1,1
7,19159,8,L23,pyr,pyr,63.60000000000001,156.06933333333333,26.666666666666668,73.33333333333333,1,1
8,19159,13,L23,pyr,pyr,71.33090909090909,169.8072727272727,27.272727272727273,81.81818181818181,1,2
9,19159,16,L23,pyr,pyr,54.6125,85.4,12.5,18.75,1,2
10,19159,21,L23,pyr,pyr,56.99466666666667,82.62133333333333,6.666666666666667,53.333333333333336,1,2
